,confidence_list
1,33.78678894042969
2,31.958253860473633
4,29.36036491394043
5,29.919403076171875
6,26.7468204498291
7,30.08847999572754
8,33.00404357910156
9,28.189573287963867
10,30.83692741394043
12,34.31715774536133
13,33.62314224243164
14,27.868724822998047
15,33.33440399169922
16,29.9655818939209
17,29.917341232299805
20,32.4619255065918
21,32.69516372680664
22,30.890146255493164
23,30.335803985595703
26,28.98645782470703
29,30.288883209228516
31,32.05662155151367
34,29.647125244140625
36,31.428264617919922
38,28.13071632385254
44,34.708988189697266
45,31.037673950195312
46,23.86656951904297
47,30.923654556274414
48,33.52114486694336
50,32.33531951904297
52,30.10574722290039
55,33.2429084777832
56,33.129520416259766
57,31.981361389160156
59,31.59430503845215
60,29.3551025390625
61,31.937870025634766
62,28.170995712280273
63,34.88749313354492
65,33.970603942871094
66,34.17381286621094
68,29.757781982421875
69,28.565561294555664
74,34.75503921508789
76,36.203739166259766
77,31.40663719177246
78,29.520675659179688
79,31.313175201416016
81,32.75446701049805
86,30.800296783447266
87,28.485576629638672
88,32.72834396362305
90,34.642906188964844
92,32.32768249511719
93,34.738006591796875
94,32.814910888671875
95,32.332759857177734
99,32.37860107421875
101,29.068981170654297
102,31.98316764831543
103,33.377498626708984
104,28.92671012878418
105,30.845075607299805
106,34.56568908691406
107,29.014982223510742
108,32.623775482177734
109,31.875892639160156
110,31.612911224365234
113,31.63637924194336
114,32.784759521484375
115,29.339670181274414
116,31.431900024414062
118,32.23014450073242
119,29.213911056518555
120,34.288536071777344
121,26.01666259765625
123,30.703195571899414
124,31.804861068725586
128,27.71099281311035
130,33.49673080444336
131,32.54672622680664
133,32.221500396728516
134,33.49521255493164
135,27.878000259399414
136,31.64363670349121
137,30.020347595214844
138,28.909515380859375
139,32.411739349365234
141,30.846263885498047
142,29.395797729492188
143,33.31252670288086
144,32.75794219970703
145,31.51013946533203
146,32.19087219238281
147,30.412321090698242
148,31.62722396850586
150,32.61025619506836
153,29.196727752685547
154,32.475830078125
155,29.284021377563477
158,31.417234420776367
159,29.094623565673828
164,32.83005142211914
166,31.44192886352539
167,29.81006622314453
168,33.26902770996094
171,33.299537658691406
172,34.23106002807617
174,28.770008087158203
175,32.87690734863281
177,29.624189376831055
178,31.608400344848633
181,32.12080001831055
182,34.78020477294922
183,32.1495361328125
184,31.093223571777344
185,31.964942932128906
186,32.46310043334961
187,32.19132995605469
188,30.002227783203125
189,30.32648277282715
192,33.59251022338867
193,32.23566436767578
194,33.83757781982422
195,30.107580184936523
196,31.52467155456543
198,29.57094955444336
200,34.382423400878906
201,33.90205764770508
202,30.89948272705078
206,28.911174774169922
207,31.608327865600586
208,33.103111267089844
211,25.832399368286133
212,27.20415687561035
213,31.18069076538086
216,33.34164810180664
217,32.616092681884766
218,34.27975082397461
219,29.504375457763672
221,31.938947677612305
222,32.49589157104492
227,30.138639450073242
228,30.94436264038086
229,31.197772979736328
231,30.477529525756836
232,32.14920425415039
233,31.20214080810547
234,26.308603286743164
236,30.6630859375
237,33.97309112548828
241,32.86455535888672
242,29.497528076171875
243,32.797733306884766
244,32.86085510253906
245,28.659414291381836
249,33.45573043823242
250,31.88413429260254
254,31.590682983398438
257,33.845951080322266
258,33.84574890136719
259,33.13859176635742
260,33.0618896484375
262,34.25376510620117
263,32.69769287109375
264,31.126169204711914
266,31.422849655151367
267,31.784624099731445
269,28.54045867919922
271,30.998178482055664
272,32.1767463684082
273,31.35088539123535
274,30.451831817626953
275,33.08776092529297
278,34.3011360168457
279,33.005828857421875
280,31.19552993774414
281,32.29449462890625
282,29.191659927368164
284,33.71047592163086
285,31.542510986328125
287,31.530134201049805
289,32.45621871948242
290,26.216598510742188
293,33.63480758666992
297,31.358152389526367
299,32.53548049926758
300,31.33341407775879
301,30.43646812438965
304,29.90776252746582
305,33.56551742553711
306,28.904016494750977
308,32.30751037597656
310,31.721126556396484
312,30.980995178222656
313,30.65425682067871
314,29.96051597595215
315,27.76849937438965
316,33.07964324951172
318,28.943645477294922
319,33.15287780761719
321,32.537010192871094
322,29.317415237426758
323,29.560453414916992
324,30.381990432739258
327,33.14311981201172
328,32.0096321105957
329,34.71125793457031
331,32.666481018066406
333,29.857444763183594
334,31.58246421813965
335,30.509109497070312
336,29.25815773010254
337,30.541677474975586
339,32.69301986694336
340,31.989316940307617
342,32.785587310791016
343,32.35903549194336
344,31.742650985717773
346,34.213130950927734
347,31.059175491333008
348,32.30445098876953
349,29.636260986328125
350,31.485279083251953
351,34.19354248046875
352,33.49923324584961
353,32.659366607666016
354,33.18752670288086
355,32.72769546508789
358,28.173620223999023
360,31.582971572875977
361,34.38823699951172
362,31.916881561279297
364,31.42603874206543
365,29.494869232177734
366,29.82347297668457
367,30.517221450805664
368,32.83834457397461
369,30.106929779052734
370,31.22927474975586
371,31.05942153930664
372,31.65411949157715
