,confidence_list
0,30.61922836303711
2,32.17605972290039
3,30.646686553955078
4,31.56816864013672
5,32.39456558227539
6,31.355487823486328
9,32.32120895385742
10,32.1400146484375
11,31.76858901977539
12,31.503829956054688
13,32.462318420410156
14,31.72793960571289
15,31.75008773803711
16,32.01313781738281
17,30.440509796142578
18,32.4602165222168
19,30.85000991821289
20,32.12242889404297
21,32.15391540527344
22,31.6591739654541
23,31.762569427490234
24,30.37725257873535
25,31.794174194335938
27,31.706052780151367
28,31.37274169921875
30,31.79090118408203
31,31.210975646972656
32,31.981582641601562
33,31.36226463317871
34,31.853294372558594
35,31.044240951538086
36,31.391197204589844
37,31.646421432495117
38,32.04395294189453
39,30.383010864257812
40,32.62828826904297
41,32.023338317871094
42,31.829416275024414
43,30.621532440185547
44,32.80824279785156
45,31.539287567138672
46,31.746479034423828
47,29.982105255126953
48,32.06828689575195
49,30.968128204345703
50,31.101238250732422
51,31.52069091796875
52,31.21894645690918
53,31.863168716430664
54,31.56615447998047
55,32.31072998046875
56,31.790943145751953
57,31.495729446411133
58,17.858619689941406
59,31.997020721435547
60,31.83249855041504
61,32.268898010253906
62,32.481624603271484
63,31.651845932006836
64,30.631010055541992
65,32.28675842285156
66,31.791698455810547
67,30.85004234313965
69,32.13656234741211
70,20.105789184570312
71,31.665714263916016
72,30.593557357788086
73,31.116668701171875
74,31.407855987548828
75,31.243616104125977
76,32.08948516845703
77,31.951107025146484
78,31.92512321472168
79,31.996482849121094
80,30.727569580078125
81,32.15459442138672
82,32.23337936401367
83,31.631938934326172
84,32.186187744140625
85,30.138315200805664
86,32.345619201660156
87,31.565467834472656
88,32.249359130859375
89,32.018585205078125
90,32.89650344848633
91,31.72753143310547
92,32.396419525146484
93,32.7486457824707
94,32.22438049316406
95,32.07929992675781
96,31.639123916625977
97,29.958898544311523
98,30.878822326660156
99,31.326387405395508
100,31.216569900512695
101,31.499027252197266
102,32.410362243652344
103,32.19002151489258
104,32.3587646484375
105,30.533348083496094
106,31.65338134765625
107,32.40441131591797
108,32.42243957519531
109,31.976810455322266
110,31.386932373046875
111,31.022592544555664
112,31.70159149169922
113,31.770797729492188
115,31.189029693603516
116,30.257184982299805
117,31.600749969482422
118,32.21818542480469
119,30.916872024536133
120,32.49838638305664
122,31.1671199798584
123,31.318021774291992
124,31.71155548095703
125,32.05986404418945
126,31.75816535949707
127,32.088191986083984
128,32.361305236816406
129,32.0483283996582
130,31.650497436523438
131,31.544727325439453
132,31.56415367126465
133,33.00467300415039
134,31.813678741455078
135,31.71647071838379
136,32.21147537231445
137,31.8090877532959
139,31.815773010253906
140,32.40142822265625
141,32.18902587890625
142,31.62446403503418
143,31.737001419067383
144,32.342525482177734
145,31.891393661499023
146,32.36358642578125
147,31.522666931152344
148,32.49054718017578
149,31.323755264282227
150,32.573585510253906
151,30.050029754638672
152,30.14760971069336
153,32.00574493408203
155,31.980836868286133
156,32.445068359375
157,31.874876022338867
158,32.145423889160156
159,32.18163299560547
160,26.669870376586914
161,31.601049423217773
162,30.307567596435547
163,30.831897735595703
164,32.1854133605957
165,31.520097732543945
166,31.070526123046875
167,32.18186950683594
168,32.94917678833008
169,31.14832878112793
170,31.809917449951172
171,32.056705474853516
172,31.256961822509766
173,32.41463851928711
174,31.9323787689209
175,32.202842712402344
176,31.6306209564209
177,31.14097023010254
178,31.954448699951172
179,32.38456344604492
180,33.04534912109375
181,32.552818298339844
182,32.03440475463867
183,31.747343063354492
184,30.966466903686523
185,32.115230560302734
187,31.490488052368164
188,32.704444885253906
189,32.3187370300293
190,29.881704330444336
191,30.711200714111328
193,31.996858596801758
195,31.482868194580078
196,32.29608154296875
197,31.567102432250977
198,31.071752548217773
199,30.162939071655273
200,31.682579040527344
201,32.04441833496094
203,31.985130310058594
204,32.41569519042969
205,31.328893661499023
206,31.506223678588867
207,31.916439056396484
209,31.35985565185547
210,31.302757263183594
211,32.61561584472656
212,31.05460548400879
215,31.990144729614258
217,29.857295989990234
