,confidence_list
0,30.11663818359375
3,29.424575805664062
11,32.266780853271484
18,24.593870162963867
19,31.761316299438477
24,30.71957015991211
25,27.65507698059082
27,29.031057357788086
28,30.7846736907959
30,32.13447189331055
32,26.922374725341797
33,30.52410125732422
35,31.380849838256836
37,28.714107513427734
39,28.118648529052734
40,31.466413497924805
41,25.534343719482422
42,31.343521118164062
43,27.009939193725586
49,30.105663299560547
51,25.27579116821289
53,30.047924041748047
54,30.754823684692383
58,25.68733787536621
64,27.836809158325195
67,27.66411781311035
70,25.67516326904297
71,32.52368927001953
72,30.467275619506836
73,30.062685012817383
75,30.44178581237793
80,28.660694122314453
82,30.85835838317871
83,27.67308807373047
84,31.538970947265625
85,27.200437545776367
89,31.287975311279297
91,30.68280792236328
96,22.341859817504883
97,29.98761558532715
98,30.581462860107422
100,31.118560791015625
111,27.589954376220703
112,31.42703628540039
117,34.82193374633789
122,25.872554779052734
125,31.990507125854492
126,25.96904182434082
127,33.84044647216797
129,29.765663146972656
132,28.70376968383789
140,32.530513763427734
149,31.357065200805664
151,28.937915802001953
152,28.84458351135254
156,30.12329864501953
157,29.40821075439453
160,27.047849655151367
161,31.592079162597656
162,30.61702537536621
163,28.377830505371094
165,34.4510612487793
169,27.16826629638672
170,30.416845321655273
173,29.490842819213867
176,32.17387008666992
179,28.441255569458008
180,32.55253219604492
190,27.976215362548828
191,29.24520492553711
197,30.820632934570312
199,29.276872634887695
203,30.474729537963867
204,30.767318725585938
205,30.05658531188965
209,29.85980224609375
210,25.818737030029297
214,32.979766845703125
215,30.566701889038086
220,27.650070190429688
223,31.03812599182129
224,25.16261100769043
225,27.211997985839844
226,31.600711822509766
230,25.56719970703125
235,30.029218673706055
238,30.040983200073242
239,29.409709930419922
240,29.716228485107422
246,31.009029388427734
247,29.72661590576172
248,30.852176666259766
251,26.31817054748535
252,30.651391983032227
253,25.704833984375
255,28.303424835205078
256,31.141992568969727
261,29.65271759033203
265,29.07314109802246
268,33.22544860839844
270,29.5883846282959
276,27.698474884033203
277,27.880502700805664
283,30.934322357177734
286,29.501089096069336
288,30.693857192993164
291,29.19684600830078
292,32.109596252441406
294,31.402545928955078
295,28.510908126831055
296,31.325037002563477
298,28.595191955566406
302,28.266298294067383
303,32.289947509765625
307,28.580066680908203
309,29.632471084594727
311,27.320690155029297
317,28.221298217773438
320,31.548078536987305
325,33.425315856933594
326,30.516416549682617
330,28.495168685913086
332,28.589174270629883
338,27.64175033569336
341,29.474008560180664
345,26.652019500732422
356,30.13897705078125
357,28.87405014038086
359,28.567779541015625
363,29.576053619384766
375,32.477333068847656
377,32.05213928222656
379,27.2910099029541
384,30.732952117919922
387,28.62836265563965
388,29.4288272857666
390,29.486867904663086
392,28.544082641601562
393,29.65135955810547
394,31.08416748046875
398,33.118934631347656
399,26.237869262695312
401,28.817153930664062
402,33.64249801635742
404,28.21929931640625
408,27.05021095275879
409,28.283647537231445
412,28.840660095214844
414,30.397960662841797
416,28.9611873626709
417,30.67348861694336
426,25.86709213256836
431,26.9499568939209
432,28.88109588623047
435,30.83051872253418
436,26.1204776763916
437,32.702598571777344
438,32.51646423339844
439,27.768415451049805
442,29.363327026367188
449,28.474462509155273
452,27.9205379486084
456,29.357101440429688
457,30.103044509887695
459,30.58309555053711
460,33.05451202392578
462,29.644502639770508
465,25.863679885864258
468,26.8349609375
470,29.46306610107422
471,30.46294403076172
473,28.934629440307617
474,30.228652954101562
476,30.449378967285156
478,25.94140625
481,28.975540161132812
484,25.35009765625
486,28.303882598876953
492,27.58336067199707
496,26.76336097717285
499,27.125320434570312
