step,boxed_freq,boxed_nll,avg_pos,hits,prompts,box_prob,recall_99
0,0.724,0.0370720996486736,415.0055248618784,362,500,0.9636066571429669,0.0
10,0.802,0.0193142523222705,481.8154613466334,401,500,0.9808710727925323,0.0
20,0.844,0.0144474876639665,487.345971563981,422,500,0.985656376492266,0.0
30,0.858,0.022474727172928,483.4941724941725,429,500,0.9777759480435286,0.0
40,0.81,0.0474601799784628,484.7604938271605,405,500,0.9536484466782532,0.0
50,0.814,0.0497603793761604,469.1203931203932,407,500,0.951457385999875,0.0
58,0.792,0.0403191684761601,469.219696969697,396,500,0.9604828343830095,0.0
