,confidence_list
0,20.664579391479492
1,20.36110496520996
3,17.432119369506836
6,20.0416316986084
7,17.21398162841797
10,20.724138259887695
11,20.285282135009766
18,19.995189666748047
19,18.94629669189453
24,20.63597297668457
25,16.231657028198242
26,19.68443489074707
27,21.819705963134766
28,20.384634017944336
32,20.2193660736084
33,17.915742874145508
35,22.229978561401367
37,20.353857040405273
39,22.664575576782227
40,18.02596664428711
41,18.48070526123047
42,18.193246841430664
45,21.27379608154297
47,23.200376510620117
49,19.839893341064453
50,19.856788635253906
51,20.786558151245117
53,20.707210540771484
54,23.18949317932129
56,20.168903350830078
60,17.641799926757812
61,22.411457061767578
64,21.33078956604004
67,20.244754791259766
70,23.470243453979492
71,20.18022918701172
72,23.03462028503418
73,21.09233856201172
75,21.31685447692871
78,23.607715606689453
80,18.725318908691406
83,17.199172973632812
84,21.468616485595703
85,22.490846633911133
87,21.960153579711914
89,21.03474235534668
91,23.228416442871094
96,20.187023162841797
97,21.301536560058594
100,24.47561264038086
105,19.377058029174805
111,20.94704818725586
121,20.26850700378418
122,21.470439910888672
125,21.306602478027344
126,19.227441787719727
132,22.245136260986328
137,20.00997543334961
138,20.94013214111328
140,19.970043182373047
148,18.898624420166016
149,21.154766082763672
151,24.183015823364258
152,20.624839782714844
154,17.663015365600586
156,22.776853561401367
157,22.88113021850586
160,19.29640769958496
161,20.173704147338867
162,22.362319946289062
163,23.074710845947266
169,20.53460121154785
170,18.99196434020996
171,19.719192504882812
173,20.70000457763672
177,19.026535034179688
178,24.874248504638672
183,18.309221267700195
186,20.45962142944336
188,19.410919189453125
190,17.810823440551758
191,19.948762893676758
195,20.32807731628418
197,22.10968017578125
199,21.46051025390625
201,16.835783004760742
203,18.9060001373291
204,19.310766220092773
208,21.841724395751953
209,20.186296463012695
211,17.123872756958008
216,20.69007110595703
217,20.29930305480957
220,17.82738494873047
224,21.724515914916992
225,17.39072036743164
226,25.030725479125977
229,19.418149948120117
230,16.091999053955078
231,22.25104331970215
234,18.096572875976562
235,23.334928512573242
238,20.268606185913086
239,20.866514205932617
240,18.841035842895508
242,23.292444229125977
245,17.6807918548584
246,22.608135223388672
247,20.452512741088867
248,18.339075088500977
251,23.19721031188965
252,22.760677337646484
255,19.434263229370117
256,20.161325454711914
261,20.102909088134766
265,24.311216354370117
276,19.158187866210938
277,19.046491622924805
283,22.6104793548584
286,22.46433448791504
288,20.534982681274414
291,21.650943756103516
292,21.89420509338379
293,25.597192764282227
294,22.75340461730957
295,22.116477966308594
297,19.888105392456055
298,23.068103790283203
300,20.02359390258789
302,17.58098793029785
304,19.021318435668945
307,20.504776000976562
311,18.810190200805664
314,19.71304702758789
317,23.25394058227539
323,23.109148025512695
324,17.50743865966797
325,23.63309669494629
328,20.56109046936035
330,21.284908294677734
332,21.99123191833496
333,18.53744125366211
337,19.611995697021484
338,20.303791046142578
341,22.254854202270508
346,21.650968551635742
347,20.447250366210938
350,24.016603469848633
356,23.27859115600586
358,19.821889877319336
359,18.410629272460938
360,23.328767776489258
363,18.15370750427246
373,23.36322784423828
375,23.485944747924805
377,21.96867561340332
381,22.172143936157227
387,21.030014038085938
388,20.519084930419922
390,18.25958824157715
392,19.56468391418457
393,19.01360321044922
394,22.937599182128906
398,15.185503959655762
399,18.993227005004883
400,24.452571868896484
401,18.872512817382812
402,18.31159782409668
403,23.465286254882812
404,16.513885498046875
408,23.304244995117188
411,18.648113250732422
412,21.56043243408203
413,23.108661651611328
414,18.714670181274414
416,18.798080444335938
417,23.383325576782227
423,17.74959945678711
426,22.277904510498047
428,21.869274139404297
431,22.06402015686035
435,23.220762252807617
436,19.963403701782227
438,19.599369049072266
439,20.731630325317383
440,18.15665626525879
442,18.78156280517578
447,21.897268295288086
449,20.37240982055664
451,22.127172470092773
452,19.18389129638672
456,23.533916473388672
457,19.707582473754883
459,23.0400333404541
460,20.9012508392334
462,20.91754913330078
465,17.57644271850586
468,17.5474853515625
469,18.814430236816406
470,22.82480239868164
471,19.11663055419922
472,20.775657653808594
473,23.215578079223633
474,20.2983455657959
476,23.620656967163086
478,20.730382919311523
481,21.62087631225586
484,15.715703964233398
492,17.76482582092285
499,22.848236083984375
