,confidence_list
2,23.134546279907227
4,20.09484100341797
5,17.718345642089844
8,18.758647918701172
9,21.603759765625
12,21.771268844604492
13,22.149864196777344
14,19.57720947265625
15,17.999332427978516
16,20.086313247680664
17,21.66401481628418
20,19.752843856811523
21,21.33344841003418
22,24.634939193725586
23,21.298076629638672
29,20.978652954101562
30,19.188295364379883
31,20.137943267822266
34,14.910054206848145
36,21.078392028808594
38,17.034387588500977
43,20.181982040405273
44,22.074235916137695
46,17.366823196411133
48,23.705095291137695
52,17.76182746887207
55,17.34819984436035
57,22.01261329650879
58,18.86250114440918
59,20.51620864868164
62,18.554723739624023
63,18.51814842224121
65,18.60655975341797
66,25.124982833862305
68,18.290401458740234
69,18.00912094116211
74,18.200077056884766
76,21.72351837158203
77,19.426450729370117
79,20.741323471069336
81,23.228605270385742
82,19.950342178344727
86,20.32525634765625
88,22.04460334777832
90,18.042190551757812
92,20.907793045043945
93,18.614543914794922
94,17.949665069580078
95,24.604114532470703
98,22.467031478881836
99,17.769840240478516
101,20.202369689941406
102,19.491987228393555
103,22.876829147338867
104,18.691869735717773
106,17.29141616821289
107,19.265642166137695
108,22.67803192138672
109,17.79070281982422
110,17.727109909057617
112,24.023160934448242
113,18.07305335998535
114,19.494617462158203
115,20.570049285888672
116,22.816144943237305
117,21.267534255981445
118,17.26065444946289
119,20.90756607055664
120,19.63357162475586
123,21.604700088500977
124,16.906070709228516
127,18.54323959350586
128,18.15227699279785
129,21.810060501098633
130,20.75437355041504
131,20.752460479736328
133,20.154788970947266
134,19.688949584960938
135,20.134845733642578
136,18.158876419067383
139,18.738813400268555
141,19.136194229125977
142,19.971778869628906
143,23.987241744995117
144,21.0564022064209
145,22.282678604125977
146,18.156919479370117
147,20.682266235351562
150,18.458919525146484
153,16.361099243164062
155,21.337703704833984
158,23.805192947387695
159,19.077350616455078
164,19.386497497558594
165,17.82689666748047
166,20.95305633544922
167,21.724531173706055
168,17.165794372558594
172,22.138320922851562
174,21.956790924072266
175,22.774892807006836
176,22.412761688232422
179,21.0320987701416
180,22.216215133666992
181,23.061368942260742
182,19.815187454223633
184,20.68153190612793
185,17.697566986083984
187,21.10344123840332
189,20.350805282592773
192,22.404870986938477
193,17.322425842285156
194,24.782541275024414
196,17.052682876586914
198,21.047502517700195
200,19.541610717773438
202,19.427831649780273
205,19.63687515258789
206,20.496288299560547
207,25.259706497192383
210,21.744529724121094
212,19.082477569580078
213,19.34567642211914
214,20.121442794799805
215,20.58420181274414
218,19.280529022216797
219,19.05678367614746
221,19.61528205871582
222,17.55961799621582
223,23.349454879760742
227,21.558273315429688
228,17.297941207885742
232,19.296504974365234
233,22.10195541381836
236,18.853830337524414
237,24.09524917602539
241,18.8111515045166
243,22.39484214782715
244,23.14495277404785
249,22.132675170898438
250,19.168804168701172
253,17.989355087280273
254,20.485280990600586
257,21.320158004760742
258,18.798236846923828
259,19.76643943786621
260,18.301406860351562
262,24.430644989013672
263,18.75017547607422
264,19.75507926940918
266,22.588228225708008
267,19.74663734436035
268,22.257762908935547
269,19.989566802978516
270,22.446075439453125
271,19.003246307373047
272,22.904172897338867
273,16.98457145690918
274,22.83373260498047
275,20.855056762695312
278,24.55521583557129
279,20.382766723632812
280,20.72512435913086
281,19.625181198120117
282,19.435375213623047
284,22.87505340576172
285,19.534053802490234
287,21.145465850830078
289,17.927488327026367
290,17.38414764404297
296,18.398618698120117
299,19.769027709960938
301,20.70309829711914
303,20.678314208984375
305,21.89710807800293
306,17.229480743408203
308,18.04431915283203
309,18.708871841430664
310,20.099437713623047
312,17.438020706176758
313,21.45537567138672
315,18.64640998840332
