,confidence_list
1,32.06211471557617
7,32.21289825439453
8,31.608936309814453
26,30.552885055541992
29,32.14155960083008
68,32.01408004760742
114,32.46108627319336
121,31.404226303100586
138,30.342239379882812
154,32.23841094970703
186,30.60277557373047
192,32.64134979248047
194,32.335628509521484
202,31.61916160583496
208,31.848894119262695
213,31.457733154296875
214,31.87078285217285
216,31.556272506713867
221,31.27488136291504
227,31.765588760375977
243,32.291194915771484
244,31.72490119934082
247,30.888507843017578
252,31.22791862487793
263,32.15379333496094
264,32.11509704589844
273,32.18394470214844
279,32.17826843261719
290,31.78977394104004
292,31.160860061645508
301,31.47814178466797
315,31.597673416137695
318,32.295352935791016
335,32.00055694580078
337,32.38148498535156
339,32.70093536376953
343,32.143043518066406
344,31.71248435974121
353,31.369258880615234
360,31.755155563354492
366,32.248504638671875
367,30.842514038085938
378,31.49698257446289
382,32.5205078125
393,31.16946792602539
395,33.074317932128906
397,32.595367431640625
411,32.37472152709961
423,31.009754180908203
437,31.390430450439453
440,31.99730110168457
443,31.894268035888672
454,32.14372253417969
472,32.31547164916992
479,32.58291244506836
480,32.3902702331543
482,32.948734283447266
488,31.216588973999023
490,32.449241638183594
492,31.35659408569336
493,32.57820129394531
494,31.57741355895996
